id,Title,Content,Excerpt,PostType,ImageURL,LocatorGender,LocatorType,_telephone,_address,LocatorCities,State,_zip,LocatorCountries,_email,_website,,
6799,Asociación Donde Maria,,,locator,,,Marijuana Associations,'+34601752485,Puerta Valencia 10,Albacete,,2002,Spain,asocdondemaria@gmail.com,,,
6800,Green Heaven,,,locator,,,Marijuana Associations,,"Ctra. San Miguel de Salinas, 14, Orihuela, Alicante",Alicante,,3193,Spain,,,,
6801,ALACANNABIS,,,locator,,,Marijuana Associations,'+34601314181,"Calle General Serrano, 10, 03012 Alicante",Alicante,,3012,Spain,,,,
6802,Alacannabis - Asociación de Estudios sobre el Cannabis de Alacante,,,locator,,,Marijuana Associations,'+34699884421,"Antonio Trueba, 19-21 izda",Alicante,,3012,Spain,alacannabis@hotmail.com,,,
6803,Green Seed Alacant,,,locator,,,Marijuana Associations,'+34637346702,Calle Alberola 17,Alicante,,3007,Spain,greenseedalacant@gmail.com,,,
6804,Casa Verde Quesada,,,locator,,,Marijuana Associations,'+34634118561,"Calle Los Arcos, Ciudad Quesada",Alicante,,3170,Spain,casaverdequesada@gmail.com,,,
6805,Cannabis,,,locator,,,Marijuana Associations,'+34677254644,C/ Poeta Infante Don Juan Manuel,Alicante,,4550,Spain,rif_elda@yahoo.es,,,
6806,Asociación Canábica 4/20,,,locator,,,Marijuana Associations,,Calle Camino L’ horta Nº 11,Alicante,,3590,Spain,club420@hotmail.com,,,
6807,República Independiente de la Frontera (RIF),,,locator,,,Marijuana Associations,'+34677254644,"Apdo. de correos 228 , Elda",Alicante,,3600,Spain,rif_elda@yahoo.es,,,
6808,Green Medix,,,locator,,,Marijuana Associations,'+34602519041,Calle san carlos 24,Alicante,,3012,Spain,greenmedix@gmail.com,,,
6809,Casa Green CSC,,,locator,,,Marijuana Associations,'+34865881053,Calle Alemania 18B,Alicante,,3003,Spain,info@csccasagreen.es,,,
6810,Green Therapy,,,locator,,,Marijuana Associations,'+34609838912,C/ Poeta Infante Don Juan Manuel,Almeria,,4550,Spain,csc.greentherapy@gmail.com,,,
6811,Amigos de Maria - Mariaren Lagunak,,,locator,,,Marijuana Associations,,"Correría, 28Vitoria-Gasteiz",Araba,,1001,Spain,info@amigosdemaria.com,,,
